epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5546,1.65164,3.93488,1.3477,0.00487,0.40369,0.04037,0.02576,1.32071,3.83137,1.17076,0.00017148,0.00017148,0.00017148
2,175.137,1.27306,2.29779,1.09078,0.01389,0.6576,0.14281,0.09933,1.18439,3.33831,1.10822,0.000350176,0.000350176,0.000350176
3,269.144,1.08251,1.92961,1.00903,0.01697,0.68641,0.18853,0.14796,1.01358,3.2259,1.04062,0.000521516,0.000521516,0.000521516
4,360.946,0.98839,1.63317,0.97795,0.9698,0.03914,0.20222,0.15067,0.99159,3.03793,1.05546,0.0006855,0.0006855,0.0006855
5,446.357,0.93855,1.54125,0.9708,0.86599,0.13806,0.29666,0.21879,0.94648,2.57679,1.02792,0.000842127,0.000842127,0.000842127
6,536.879,0.93024,1.43183,0.9648,0.48933,0.21629,0.21271,0.14359,0.9788,2.64959,1.07101,0.000991397,0.000991397,0.000991397
7,627.273,0.87975,1.43947,0.96881,0.71309,0.17969,0.36594,0.22761,0.90938,2.67447,1.04076,0.00113331,0.00113331,0.00113331
8,719.918,0.87232,1.29988,0.95611,0.53623,0.50491,0.46888,0.31259,0.91423,2.10921,1.00537,0.00123094,0.00123094,0.00123094
9,810.258,0.85387,1.23069,0.9347,0.65556,0.3204,0.41654,0.2881,0.94986,2.211,1.05432,0.00120265,0.00120265,0.00120265
10,903.316,0.86367,1.23678,0.95219,0.43738,0.43934,0.3992,0.30867,1.01434,1.92104,1.05786,0.00117435,0.00117435,0.00117435
11,994.414,0.82294,1.13675,0.93937,0.48802,0.55432,0.46166,0.34303,0.88851,1.66583,1.01234,0.00114606,0.00114606,0.00114606
12,1130.53,0.78667,1.06825,0.93775,0.49543,0.57828,0.47476,0.33504,0.87211,1.63566,0.99333,0.00111776,0.00111776,0.00111776
13,1263.3,0.77601,1.03524,0.92017,0.63327,0.54772,0.61478,0.42815,0.82768,1.42198,0.97577,0.00108947,0.00108947,0.00108947
14,1392.75,0.73467,0.98476,0.91104,0.71345,0.56397,0.64151,0.48126,0.7864,1.21948,0.9719,0.00106118,0.00106118,0.00106118
15,1495.03,0.7622,0.92672,0.9137,0.70004,0.64315,0.68504,0.49868,0.80049,1.08723,0.98116,0.00103288,0.00103288,0.00103288
16,1626.13,0.73332,0.90731,0.90649,0.72186,0.62967,0.6939,0.4911,0.76787,1.21817,0.9565,0.00100459,0.00100459,0.00100459
17,1783.42,0.75238,0.95754,0.92063,0.7464,0.62567,0.65766,0.49438,0.71362,1.07903,0.92809,0.000976293,0.000976293,0.000976293
18,1971.03,0.76704,1.0012,0.91574,0.7329,0.53899,0.62868,0.48212,0.7371,1.09161,0.935,0.000947999,0.000947999,0.000947999
19,2142.07,0.72515,0.88066,0.90578,0.72959,0.56469,0.64304,0.50338,0.69889,1.01344,0.92705,0.000919704,0.000919704,0.000919704
20,2299.49,0.7348,0.86015,0.89268,0.71091,0.58805,0.63497,0.51915,0.68009,0.96889,0.91396,0.00089141,0.00089141,0.00089141
21,2384.75,0.70624,0.83988,0.88856,0.63588,0.64348,0.64414,0.52073,0.70395,0.904,0.91567,0.000863116,0.000863116,0.000863116
22,2465.46,0.67653,0.81846,0.87977,0.74876,0.56213,0.64475,0.5312,0.63727,0.88722,0.90673,0.000834822,0.000834822,0.000834822
23,2546.01,0.69522,0.78927,0.89113,0.76108,0.56127,0.66395,0.54842,0.67495,0.85786,0.91334,0.000806528,0.000806528,0.000806528
24,2632.43,0.67343,0.77987,0.87828,0.70818,0.57738,0.67317,0.56035,0.63744,0.86176,0.90465,0.000778233,0.000778233,0.000778233
25,2735.19,0.65166,0.73054,0.87537,0.7699,0.5946,0.71204,0.55763,0.74976,0.86996,0.93237,0.000749939,0.000749939,0.000749939
26,2832.68,0.64993,0.74453,0.88414,0.77823,0.72647,0.77746,0.61032,0.65028,0.81641,0.91266,0.000721645,0.000721645,0.000721645
27,2929.11,0.62461,0.72496,0.87394,0.84102,0.74616,0.82845,0.65132,0.67626,0.78409,0.90929,0.000693351,0.000693351,0.000693351
28,3035.05,0.62443,0.74541,0.87404,0.77364,0.77503,0.79721,0.62462,0.65755,0.75235,0.91074,0.000665057,0.000665057,0.000665057
29,3179.7,0.68899,0.75687,0.8849,0.8043,0.66473,0.77564,0.60562,0.66205,0.7614,0.91238,0.000636762,0.000636762,0.000636762
30,3310.38,0.62495,0.68617,0.86696,0.92096,0.64002,0.79487,0.63417,0.61701,0.72457,0.90399,0.000608468,0.000608468,0.000608468
31,3397.14,0.58605,0.66006,0.86621,0.76372,0.82076,0.82878,0.66419,0.63074,0.74583,0.90436,0.000580174,0.000580174,0.000580174
32,3487.04,0.60623,0.66532,0.85641,0.85227,0.82819,0.83769,0.66032,0.65293,0.75167,0.90615,0.00055188,0.00055188,0.00055188
33,3575.73,0.60943,0.63214,0.85271,0.80245,0.74903,0.81701,0.65864,0.6403,0.7593,0.90633,0.000523586,0.000523586,0.000523586
34,3665.32,0.64104,0.629,0.86507,0.82696,0.66244,0.77926,0.64885,0.58138,0.74583,0.89374,0.000495291,0.000495291,0.000495291
